"LSOA11CD","July17_2022","July18_2022","July19_2022","July20_2022","July21_2022","July22_2022"
"E01000001",22.68,27.51,28.49,21.83,19.96,18.54
"E01000002",22.68,27.51,28.49,21.83,19.96,18.54
"E01000003",22.68,27.51,28.49,21.83,19.96,18.54
"E01000005",22.68,27.51,28.49,21.83,19.96,18.54
"E01000006",22.68,27.51,28.49,21.83,19.96,18.54
"E01000007",22.68,27.51,28.49,21.83,19.96,18.54
"E01000008",22.68,27.51,28.49,21.83,19.96,18.54
"E01000009",22.68,27.51,28.49,21.83,19.96,18.54
"E01000010",22.68,27.51,28.49,21.83,19.96,18.54
"E01000011",22.68,27.51,28.49,21.83,19.96,18.54
"E01000012",22.68,27.51,28.49,21.83,19.96,18.54
"E01000013",22.68,27.51,28.49,21.83,19.96,18.54
"E01000014",22.68,27.51,28.49,21.83,19.96,18.54
"E01000015",22.68,27.51,28.49,21.83,19.96,18.54
"E01000016",22.68,27.51,28.49,21.83,19.96,18.54
"E01000017",22.68,27.51,28.49,21.83,19.96,18.54
"E01000018",22.68,27.51,28.49,21.83,19.96,18.54
"E01000019",22.68,27.51,28.49,21.83,19.96,18.54
"E01000020",22.68,27.51,28.49,21.83,19.96,18.54
"E01000021",22.68,27.51,28.49,21.83,19.96,18.54
"E01000022",22.68,27.51,28.49,21.83,19.96,18.54
"E01000023",22.68,27.51,28.49,21.83,19.96,18.54
"E01000024",22.68,27.51,28.49,21.83,19.96,18.54
"E01000025",22.68,27.51,28.49,21.83,19.96,18.54
"E01000027",22.68,27.51,28.49,21.83,19.96,18.54
"E01000028",22.68,27.51,28.49,21.83,19.96,18.54
"E01000029",22.68,27.51,28.49,21.83,19.96,18.54
"E01000030",22.68,27.51,28.49,21.83,19.96,18.54
"E01000031",22.68,27.51,28.49,21.83,19.96,18.54
"E01000032",22.68,27.51,28.49,21.83,19.96,18.54
"E01000033",22.68,27.51,28.49,21.83,19.96,18.54
"E01000034",22.68,27.51,28.49,21.83,19.96,18.54
"E01000035",22.68,27.51,28.49,21.83,19.96,18.54
"E01000036",22.68,27.51,28.49,21.83,19.96,18.54
"E01000037",22.68,27.51,28.49,21.83,19.96,18.54
"E01000038",22.68,27.51,28.49,21.83,19.96,18.54
"E01000039",22.68,27.51,28.49,21.83,19.96,18.54
"E01000040",22.68,27.51,28.49,21.83,19.96,18.54
"E01000041",22.68,27.51,28.49,21.83,19.96,18.54
"E01000042",22.68,27.51,28.49,21.83,19.96,18.54
"E01000043",22.68,27.51,28.49,21.83,19.96,18.54
"E01000044",22.68,27.51,28.49,21.83,19.96,18.54
"E01000045",22.68,27.51,28.49,21.83,19.96,18.54
"E01000046",22.68,27.51,28.49,21.83,19.96,18.54
"E01000048",22.68,27.51,28.49,21.83,19.96,18.54
"E01000049",22.68,27.51,28.49,21.83,19.96,18.54
"E01000050",22.68,27.51,28.49,21.83,19.96,18.54
"E01000051",22.68,27.51,28.49,21.83,19.96,18.54
"E01000052",22.68,27.51,28.49,21.83,19.96,18.54
"E01000053",22.68,27.51,28.49,21.83,19.96,18.54
"E01000054",22.68,27.51,28.49,21.83,19.96,18.54
"E01000055",22.68,27.51,28.49,21.83,19.96,18.54
"E01000056",22.68,27.51,28.49,21.83,19.96,18.54
"E01000057",22.68,27.51,28.49,21.83,19.96,18.54
"E01000058",22.68,27.51,28.49,21.83,19.96,18.54
"E01000059",22.68,27.51,28.49,21.83,19.96,18.54
"E01000060",22.68,27.51,28.49,21.83,19.96,18.54
"E01000061",22.68,27.51,28.49,21.83,19.96,18.54
"E01000062",22.68,27.51,28.49,21.83,19.96,18.54
"E01000063",22.68,27.51,28.49,21.83,19.96,18.54
"E01000064",22.68,27.51,28.49,21.83,19.96,18.54
"E01000065",22.68,27.51,28.49,21.83,19.96,18.54
"E01000066",22.68,27.51,28.49,21.83,19.96,18.54
"E01000067",22.68,27.51,28.49,21.83,19.96,18.54
"E01000068",22.68,27.51,28.49,21.83,19.96,18.54
"E01000069",22.68,27.51,28.49,21.83,19.96,18.54
"E01000070",22.68,27.51,28.49,21.83,19.96,18.54
"E01000071",22.68,27.51,28.49,21.83,19.96,18.54
